factor_id,factor_cn,category,n_studies,consistency,evidence_code,topsis_score,rank
M1,体力活动没有持续增加,运动因素,21,0.7619047619047619,2,0.838179476573,1
M2,未持续降低总能量摄入,饮食因素,10,0.8,2,0.466327355578,2
M3,不经常称重或监测体重,自我监测,10,0.8,2,0.466327355578,2
M4,未减少甜食油炸快餐等不健康食品,饮食因素,7,0.875,2,0.362655339650,4
M5,果蔬摄入没有增加,饮食因素,6,0.8333333333333333,2,0.324334879274,5
M6,含糖饮料没有减少,饮食因素,5,0.8,2,0.292080609271,6
M7,运动自我效能低或感到运动障碍大,心理因素,5,0.8,2,0.292080609271,6
M13,体重管理自我效能低,心理因素,3,1.0,2,0.287990394185,8
M15,内在线索引起的失控进食严重,心理因素,2,1.0,2,0.275128843875,9
M9,没有控制食物份量,饮食因素,4,0.75,2,0.265039490825,10
M10,没有持续记录饮食,自我监测,4,0.75,2,0.265039490825,10
M11,没有降低膳食脂肪摄入,饮食因素,4,0.75,2,0.265039490825,10
M14,饮食自我效能低,心理因素,2,1.0,1,0.168554354397,13
M8,暴食情绪性或失控性进食,心理因素,5,0.8,1,0.151632872948,14
M12,没有监测运动,自我监测,4,0.75,1,0.097721324840,15
