profile_id,profile_name,perturbed_criterion,weight_multiplier,baseline_best_plan,perturbed_best_plan,best_plan_unchanged
1,久坐办公型,effect_score,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,effect_score,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,feasibility_score,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,feasibility_score,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,persistence_score,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,persistence_score,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,failure_coverage_score,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,failure_coverage_score,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,profile_match_score,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,profile_match_score,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,time_burden_min_day,0.8,能量控制与饮食记录型,能量控制与饮食记录型,1
1,久坐办公型,time_burden_min_day,1.2,能量控制与饮食记录型,能量控制与饮食记录型,1
2,夜班熬夜型,effect_score,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,effect_score,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,feasibility_score,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,feasibility_score,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,persistence_score,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,persistence_score,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,failure_coverage_score,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,failure_coverage_score,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,profile_match_score,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,profile_match_score,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,time_burden_min_day,0.8,夜间加餐能量管理型,夜间加餐能量管理型,1
2,夜班熬夜型,time_burden_min_day,1.2,夜间加餐能量管理型,夜间加餐能量管理型,1
3,高压应酬型,effect_score,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,effect_score,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,feasibility_score,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,feasibility_score,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,persistence_score,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,persistence_score,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,failure_coverage_score,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,failure_coverage_score,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,profile_match_score,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,profile_match_score,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,time_burden_min_day,0.8,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
3,高压应酬型,time_burden_min_day,1.2,应酬饮食与饮酒管理型,应酬饮食与饮酒管理型,1
4,时间受限型,effect_score,0.8,碎片运动与周末备餐型,外卖能量管理型,0
4,时间受限型,effect_score,1.2,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,feasibility_score,0.8,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,feasibility_score,1.2,碎片运动与周末备餐型,外卖能量管理型,0
4,时间受限型,persistence_score,0.8,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,persistence_score,1.2,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,failure_coverage_score,0.8,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,failure_coverage_score,1.2,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,profile_match_score,0.8,碎片运动与周末备餐型,外卖能量管理型,0
4,时间受限型,profile_match_score,1.2,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,time_burden_min_day,0.8,碎片运动与周末备餐型,碎片运动与周末备餐型,1
4,时间受限型,time_burden_min_day,1.2,碎片运动与周末备餐型,外卖能量管理型,0
5,饮食失衡型,effect_score,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,effect_score,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,feasibility_score,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,feasibility_score,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,persistence_score,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,persistence_score,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,failure_coverage_score,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,failure_coverage_score,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,profile_match_score,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,profile_match_score,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,time_burden_min_day,0.8,总能量记录与份量控制型,总能量记录与份量控制型,1
5,饮食失衡型,time_burden_min_day,1.2,总能量记录与份量控制型,总能量记录与份量控制型,1
