model,held_out_year,observed,predicted,error
Logistic,1992,20,20.1634428446076,-0.163442844607584
Logistic,2002,29.9,29.686154926984,0.213845073016035
Logistic,2012,42,41.5985618891541,0.401438110845916
Logistic,2020,50.7,52.8880807993666,-2.18808079936665
Logistic,2023,57,55.0088878716598,1.99111212834021
Gompertz,1992,20,17.8069745213075,2.19302547869253
Gompertz,2002,29.9,30.809898947248,-0.909898947247957
Gompertz,2012,42,42.7645405704444,-0.764540570444353
Gompertz,2020,50.7,52.6020936013216,-1.90209360132158
Gompertz,2023,57,53.8228783807706,3.17712161922937
