K,model,param1_value,param2_value,prediction_2030,prediction_2050,rmse,loo_rmse
75,Logistic,0.0670298927382262,2007.85121882711,61.145322054679,70.8017988861751,1.14311763319215,1.95918655373842
75,Gompertz,1.40090591679495,0.0471210192455409,59.3666501031233,68.4701205398688,1.73274287344412,3.24655090973507
80,Logistic,0.0626328664937529,2010.08511234845,62.1469377892704,73.9312549081064,0.995405689056909,1.71513985158826
80,Gompertz,1.45557587071201,0.0430111045380497,60.2254243138833,70.9449370865254,1.53530235037129,2.85215821259701
85,Logistic,0.0591988745016341,2012.26519748669,62.9639133792638,76.7761668064502,0.899673772369644,1.55437426691932
85,Gompertz,1.50784909245875,0.0397445182006984,60.9253591655942,73.1313706676287,1.38428386530934,2.55472668189793
90,Logistic,0.0564458208036672,2014.38219386632,63.6430827200536,79.370337773691,0.839367907047145,1.44930670240243
90,Gompertz,1.5578916576871,0.0370844039821285,61.5075101580082,75.0761095919137,1.26629910101974,2.32454445083009
95,Logistic,0.0541906289661438,2016.43140489421,64.2166945196674,81.7435568570979,0.803220852731962,1.38204706620736
95,Gompertz,1.6058411473403,0.0348742110290616,61.9999429477452,76.8172002011094,1.17257817598217,2.14271232570399
100,Logistic,0.0523099430553344,2018.41112615664,64.7076528512985,83.9216798604218,0.783408376078064,1.34058352427043
100,Gompertz,1.65182578238635,0.0330067850940269,62.4224469407754,78.3855422400629,1.09714442743896,1.99669031047962
