scenario,year,outcome,parameter,spearman_rho,abs_spearman_rho,rank,scope
low,2030,scenario_burden,model_code,0.826346082173032,0.826346082173032,1,joint_structure_policy
low,2030,scenario_burden,K,0.546581463204329,0.546581463204329,2,joint_structure_policy
low,2030,scenario_burden,coverage,-0.0582143884382938,0.0582143884382938,3,joint_structure_policy
low,2030,scenario_burden,adherence,-0.0243697900988679,0.0243697900988679,5,joint_structure_policy
low,2030,scenario_burden,effect,-0.0480877829273631,0.0480877829273631,4,joint_structure_policy
low,2030,avoidable_burden,model_code,0.0611089668190878,0.0611089668190878,4,joint_structure_policy
low,2030,avoidable_burden,K,0.0342987766971755,0.0342987766971755,5,joint_structure_policy
low,2030,avoidable_burden,coverage,0.629738423008983,0.629738423008983,1,joint_structure_policy
low,2030,avoidable_burden,adherence,0.386723498771649,0.386723498771649,3,joint_structure_policy
low,2030,avoidable_burden,effect,0.629519927308992,0.629519927308992,2,joint_structure_policy
low,2050,scenario_burden,model_code,0.651907955394218,0.651907955394218,2,joint_structure_policy
low,2050,scenario_burden,K,0.724847204611219,0.724847204611219,1,joint_structure_policy
low,2050,scenario_burden,coverage,-0.0314116628504527,0.0314116628504527,3,joint_structure_policy
low,2050,scenario_burden,adherence,-0.00498472146986589,0.00498472146986589,5,joint_structure_policy
low,2050,scenario_burden,effect,-0.022327415855907,0.022327415855907,4,joint_structure_policy
low,2050,avoidable_burden,model_code,0.103786566397642,0.103786566397642,5,joint_structure_policy
low,2050,avoidable_burden,K,0.113434688334302,0.113434688334302,4,joint_structure_policy
low,2050,avoidable_burden,coverage,0.621607035436515,0.621607035436515,2,joint_structure_policy
low,2050,avoidable_burden,adherence,0.383652217001429,0.383652217001429,3,joint_structure_policy
low,2050,avoidable_burden,effect,0.622363405897649,0.622363405897649,1,joint_structure_policy
medium,2030,scenario_burden,model_code,0.807655081715537,0.807655081715537,1,joint_structure_policy
medium,2030,scenario_burden,K,0.497499376730488,0.497499376730488,2,joint_structure_policy
medium,2030,scenario_burden,coverage,-0.18981580539647,0.18981580539647,3,joint_structure_policy
medium,2030,scenario_burden,adherence,-0.0935531732319173,0.0935531732319173,5,joint_structure_policy
medium,2030,scenario_burden,effect,-0.179286255697059,0.179286255697059,4,joint_structure_policy
medium,2030,avoidable_burden,model_code,0.084466830461024,0.084466830461024,4,joint_structure_policy
medium,2030,avoidable_burden,K,0.0485684080608354,0.0485684080608354,5,joint_structure_policy
medium,2030,avoidable_burden,coverage,0.639814255732694,0.639814255732694,2,joint_structure_policy
medium,2030,avoidable_burden,adherence,0.35001472391735,0.35001472391735,3,joint_structure_policy
medium,2030,avoidable_burden,effect,0.640111938708877,0.640111938708877,1,joint_structure_policy
medium,2050,scenario_burden,model_code,0.64813866854371,0.64813866854371,2,joint_structure_policy
medium,2050,scenario_burden,K,0.715228416488747,0.715228416488747,1,joint_structure_policy
medium,2050,scenario_burden,coverage,-0.0973628788374412,0.0973628788374412,3,joint_structure_policy
medium,2050,scenario_burden,adherence,-0.0403532257452613,0.0403532257452613,5,joint_structure_policy
medium,2050,scenario_burden,effect,-0.0880456011931062,0.0880456011931062,4,joint_structure_policy
medium,2050,avoidable_burden,model_code,0.141683161338002,0.141683161338002,5,joint_structure_policy
medium,2050,avoidable_burden,K,0.155295368473638,0.155295368473638,4,joint_structure_policy
medium,2050,avoidable_burden,coverage,0.62513537757943,0.62513537757943,2,joint_structure_policy
medium,2050,avoidable_burden,adherence,0.344507559874891,0.344507559874891,3,joint_structure_policy
medium,2050,avoidable_burden,effect,0.626721922607265,0.626721922607265,1,joint_structure_policy
high,2030,scenario_burden,model_code,0.732891562091422,0.732891562091422,1,joint_structure_policy
high,2030,scenario_burden,K,0.428021502000905,0.428021502000905,2,joint_structure_policy
high,2030,scenario_burden,coverage,-0.325464623546506,0.325464623546506,3,joint_structure_policy
high,2030,scenario_burden,adherence,-0.191292471494885,0.191292471494885,5,joint_structure_policy
high,2030,scenario_burden,effect,-0.31588442799909,0.31588442799909,4,joint_structure_policy
high,2030,avoidable_burden,model_code,0.126427442573305,0.126427442573305,4,joint_structure_policy
high,2030,avoidable_burden,K,0.0749511126953564,0.0749511126953564,5,joint_structure_policy
high,2030,avoidable_burden,coverage,0.623745971395962,0.623745971395962,2,joint_structure_policy
high,2030,avoidable_burden,adherence,0.386898975265064,0.386898975265064,3,joint_structure_policy
high,2030,avoidable_burden,effect,0.625393840506318,0.625393840506318,1,joint_structure_policy
high,2050,scenario_burden,model_code,0.633347333425888,0.633347333425888,2,joint_structure_policy
high,2050,scenario_burden,K,0.687989674919964,0.687989674919964,1,joint_structure_policy
high,2050,scenario_burden,coverage,-0.180670732426348,0.180670732426348,3,joint_structure_policy
high,2050,scenario_burden,adherence,-0.0985089839049076,0.0985089839049076,5,joint_structure_policy
high,2050,scenario_burden,effect,-0.17120035263776,0.17120035263776,4,joint_structure_policy
high,2050,avoidable_burden,model_code,0.206837274174779,0.206837274174779,5,joint_structure_policy
high,2050,avoidable_burden,K,0.227552789397997,0.227552789397997,4,joint_structure_policy
high,2050,avoidable_burden,coverage,0.594167861396131,0.594167861396131,2,joint_structure_policy
high,2050,avoidable_burden,adherence,0.372576674679783,0.372576674679783,3,joint_structure_policy
high,2050,avoidable_burden,effect,0.597607951311843,0.597607951311843,1,joint_structure_policy
