"note_id","source_id","extracted_item","raw_or_paraphrased_evidence","model_translation","confidence","remarks"
"E01","S01","成人 BMI 分级","中国成人 BMI 正常、超重、肥胖界值分别以 18.5、24.0、28.0 kg/m^2 为关键分界。","设置 bmi_overweight_min=24.0, bmi_obesity_min=28.0。","high","与 S03 附录5一致。"
"E02","S01","阶段性减重目标","指南建议按减轻现体重的 5%、10%、15% 划分阶段性目标，周期为 3 至 6 个月。","本题生活方式方案采用 6 个月、5%-10% 作为安全有效目标区间。","high","不把 15% 作为普通生活方式方案目标，保持保守。"
"E03","S03","6 个月理想减重","成人肥胖食养指南提出 6 个月减少当前体重 5%-10% 较为理想。","效果指标以基准体重 90kg 的 4.5-9.0kg 为参考区间。","high","基准体重是模型假设，不是指南固定值。"
"E04","S01;S03","每日膳食能量摄入削减量","指南建议每日膳食摄入减少 500-1000 kcal 或降低总能量摄入。","候选方案膳食摄入削减量均设置在 500-1000 kcal/day 内。","high","该范围初筛不替代个体总摄入量安全评估。"
"E05","S03","限能量平衡膳食","男性 1200-1500 kcal/day、女性 1000-1200 kcal/day 可作为限能量平衡膳食参考。","写入安全边界，不直接指定所有个体的总摄入。","medium","具体摄入应结合性别、年龄、基础代谢和活动量。"
"E06","S01;S03;S05","有氧运动时间","成人建议每周至少 150 分钟中等强度身体活动，肥胖减重可到 150-300 分钟。","候选方案有氧运动设置为 150、180、210、240、270、300 min/week 等梯度。","high","所有画像针对性方案均保持在安全范围内。"
"E07","S01;S03","抗阻训练","成人肥胖患者建议结合抗阻运动，S03 建议每周 2-3 天。","候选方案设置 strength_days_week=2 或 3。","high","用于提高安全性和长期代谢维持。"
"E08","S03","睡眠作息","肥胖患者应保证每日约 7 小时睡眠，避免熬夜和作息不规律。","夜班熬夜型和高压应酬型增加睡眠修复措施，安全性和覆盖度受其影响。","high","夜班人群不能简单要求固定早睡，因此采用睡眠窗口和补觉策略。"
"E09","S03;S04","蔬菜、全谷物、坚果","减重人群建议每日新鲜蔬菜 300-500g、全谷物和杂豆 50-150g、坚果每周 50-70g。","果蔬全谷提升型及相关饮食方案提高饮食结构和果蔬覆盖度。","high","用于失败因素“果蔬摄入没有增加”的覆盖度。"
"E10","S01;S03","自我监测","指南强调定期称重，记录饮食和身体活动，有助于维持减重计划。","所有候选方案包含每周 2-7 次称重/记录，作为失败因素覆盖度的一部分。","high","监测不是减重本身，但影响坚持和纠偏。"
"E11","problem2_result","问题二前五失败因素","体力活动未持续增加、总能量摄入未持续降低、不经常称重、未减少甜食油炸快餐、果蔬摄入未增加。","构造 5 个 failure coverage 维度，并纳入 TOPSIS 指标。","high","承接当前项目已有问题二结果。"
"E12","expert_rule","典型生活方式画像","题目要求典型工作生活方式，缺少权威个体样本数据。","采用专家规则画像，不使用 K-means 聚类。","high","符合用户明确要求。"
"E13","expert_rule","TOPSIS 指标权重","安全性先按指南门槛筛选，再评价效果、可执行性、长期坚持性、失败因素覆盖度、画像匹配度和时间成本。","6 个指标权重设为 0.18、0.22、0.18、0.15、0.20、0.07。","medium","权重和为1，主观设定已公开，并进行单项权重±20%敏感性分析。"
"E16","expert_rule","画像和覆盖度评分规则","画像风险固定为低/中/高/极高=25/50/75/95；覆盖度固定为未覆盖/间接覆盖/直接覆盖=0/0.5/1。","写入 q3_scoring_rules.csv，并由 MATLAB 代码采用。","high","降低主观赋值的随意性，提高可复核性。"
"E17","expert_rule","指南范围初筛","膳食摄入削减量、有氧运动、抗阻训练和睡眠目标不满足指南范围时不进入 TOPSIS。","用 q3_apply_safety_constraints.m 生成 is_safe 和 safety_gate_result。","high","仅为四项范围初筛，不声称完成个体临床安全评估。"
"E18","expert_rule","权重敏感性分析","对6个 TOPSIS 权重分别下调或上调20%；被扰动项固定为基准的80%或120%，其余项按原相对比例分配剩余权重。","每类12个情景、共60个情景，输出明细与汇总表。","high","用于检验推荐方案是否对权重设定稳健，且每次权重和保持为1。"
"E19","expert_rule;problem_design","画像匹配度","只使用现有画像风险、五项覆盖度、sleep_action_score 和 time_burden_min_day。","按公开加权匹配公式生成 profile_match_score，并作为收益型指标。","high","不引入新样本或外部参数；压力风险仍在可执行性和坚持性中体现。"
"E20","expert_rule;S01;S03;S05","画像针对性候选方案","餐次管理、碎片运动、应酬饮食管理、外卖选择和份量记录是在指南安全边界内的执行细化。","替换旧通用综合平衡型，形成5类画像各3套候选方案。","medium","执行细节属于专家规则，不作为指南原文定量条款引用。"
"E14","expert_rule","能量到体重折算","常用体重管理估算中约 7700 kcal 对应 1kg 体重变化。","用于估算 6 个月预期减重 kg，仅用于相对比较。","medium","现实减重非线性，代码中进行安全封顶。"
"E15","S02","医学安全边界","肥胖症诊疗指南用于提醒生活方式干预以外的药物和手术应满足适应证并由医生评估。","本题代码不生成药物、手术方案，仅输出生活方式方案。","high","用于论文安全性说明。"
